rank,aspect_id,aspect_name,count,pct_of_positives,pct_of_corpus
1,RO2.1,Anthropometric Changes,1334,74.53,3.0943
2,RO1.6,Pain & Inflammation,289,16.15,0.6704
3,RO3.1,Type 2 Diabetes,273,15.25,0.6332
4,RO1.2,Energy & Vitality,219,12.23,0.508
5,RO1.3,Psychological Well-Being,203,11.34,0.4709
6,RO1.5,Appetite & Satiety,197,11.01,0.457
7,RO1.8,Skin Health,192,10.73,0.4454
8,RO2.3,Blood Pressure,180,10.06,0.4175
9,RO2.2,Glycemic Control,179,10.0,0.4152
10,RO1.7,Digestive Health,168,9.39,0.3897
11,RO2.4,Lipid Profile,133,7.43,0.3085
12,RO1.1,Cognitive Function,124,6.93,0.2876
13,RO1.4,Sleep Quality,123,6.87,0.2853
14,RO3.17,Arthritis,55,3.07,0.1276
15,RO3.3,Cardiovascular Disease,52,2.91,0.1206
16,RO3.2,Fatty Liver Disease,51,2.85,0.1183
17,RO3.14,Inflammatory Bowel Disease,50,2.79,0.116
18,RO1.9,Hormonal & Menstrual Health,49,2.74,0.1137
19,RO3.9,Cancer,39,2.18,0.0905
20,RO3.16,Fibromyalgia & Neuropathy,33,1.84,0.0765
21,RO3.13,Thyroid Disease,24,1.34,0.0557
22,RO3.15,Autoimmune Disease,24,1.34,0.0557
23,RO3.8,Gout,20,1.12,0.0464
24,RO3.4,Hypertension,17,0.95,0.0394
25,RO3.5,PCOS,11,0.61,0.0255
26,RO3.6,Neurodegenerative Disease,11,0.61,0.0255
27,RO3.18,Gallbladder Disease,9,0.5,0.0209
28,RO2.6,Liver Function,9,0.5,0.0209
29,RO3.7,Chronic Kidney Disease,9,0.5,0.0209
30,RO2.8,Hormonal Markers,8,0.45,0.0186
31,RO3.10,Osteoporosis,7,0.39,0.0162
32,RO2.5,Inflammatory Markers,5,0.28,0.0116
33,RO2.7,Kidney Function,5,0.28,0.0116
34,RO3.11,Stroke,4,0.22,0.0093
35,RO3.12,ADHD,2,0.11,0.0046
